Sistem,Alt Kategori,Açıklama,Nasıl Çalışır,Ne Yaparsanız Ne Olur,Test Yöntemi,Değerler/Formüller,Notlar
Puan Sistemi,Hasene Kazanma,Temel puan sistemi,Her doğru cevap hasene verir,Doğru cevap = +hasene,Oyunu oynayın ve hasene sayacını kontrol edin,Kolay: +10 hasene Orta: +20 hasene Zor: +50 hasene,Ana para birimi
Puan Sistemi,Yanlış Cevap,Yanlış cevap cezası,Yanlış cevapta hasene kaybı,Yanlış cevap = -hasene,Kasten yanlış cevap verin,Kolay: -5 hasene Orta: -10 hasene Zor: -25 hasene,Minimum 0'a kadar düşebilir
Puan Sistemi,Günlük Hedef,Günlük 1000 hasene hedefi,Günlük progress bar'da gösterilir,1000 haseneye ulaşın = %100 progress,Günlük 1000 hasene toplayın,Progress = (günlükHasene / 1000) * 100,Her gün sıfırlanır
Puan Sistemi,Toplam Hasene,Genel ilerleme takibi,Tüm zamanların toplam hasene puanı,Oynadıkça birikir,localStorage'da saklanır,totalHasene değişkeni,Asla sıfırlanmaz
Seviye Sistemi,Progressive Levels,Zorluk artışı ile seviye,Her seviye exponentially daha zor,Daha fazla XP = daha yüksek seviye,XP toplayın ve seviye değişimini gözlemleyin,calculateLevel(totalXP) fonksiyonu,Level 1: 0-999 XP
Seviye Sistemi,Seviye 1,Başlangıç seviyesi,0-999 XP arası,1000 XP'ye kadar oynayın,Yeni oyuncu gibi başlayın,getXPRequiredForLevel(1) = 0,En kolay seviye
Seviye Sistemi,Seviye 2,İkinci seviye,1000-2499 XP arası,1500 XP daha toplayın,1000 XP'den sonra devam edin,Gerekli: 1000 XP,Orta zorluk
Seviye Sistemi,Seviye 3,Üçüncü seviye,2500-4999 XP arası,2500 XP daha toplayın,2500 XP'den sonra devam edin,Gerekli: 2500 XP,Zorlaşmaya başlıyor
Seviye Sistemi,Seviye 4-10,Orta seviyeler,Artan XP gereksinimleri,Her seviye daha fazla XP ister,Yüksek XP toplayın,Seviye 10: 38000 XP gerekli,Exponential artış
Seviye Sistemi,Seviye 11+,Yüksek seviyeler,Her seviye 10000 XP daha,Seviye 11'den sonra linear artış,47000+ XP toplayın,Her seviye +10000 XP,Çok zor
Streak Sistemi,Günlük Streak,Ardışık günler,Her gün oynarsan streak artar,Günde en az 1 oyun = +1 streak,Günlük oynayın,streak değişkeni,Hiç kaçırmayın
Streak Sistemi,Streak Kaybı,Streak sıfırlanması,1 gün kaçırırsan sıfırlanır,Günlük oynamamak = streak = 0,1 gün oynamayın,Son oynama tarihi kontrolü,Acımasız sistem
Streak Sistemi,Milestone Fanfarları,Özel streak ödülleri,Belirli streak sayılarında fanfar,3-7-10-15-20-30-50-100 gün,Milestone'lara ulaşın,checkStreakMilestone() fonksiyonu,playStreak() fanfarı çalar
Streak Sistemi,Streak Koruma,Gelecek özellik,Kalp kullanarak streak koruma,Henüz implement edilmedi,Şu anda mevcut değil,Gelecekte eklenecek,Premium özellik olabilir
Kalp Sistemi,Kalp Kazanma,Yanlış cevap koruması,Her doğru cevaptan sonra kalp şansı,Rastgele kalp kazanabilirsiniz,Çok oyun oynayın,Math.random() < 0.1 (10% şans),Maksimum 5 kalp
Kalp Sistemi,Kalp Kullanma,Yanlış cevap koruması,Yanlış cevapta otomatik kalp harcar,Kalp varsa hasene kaybı yok,Kasten yanlış yapın kalp varken,if (hearts > 0) hearts--,Otomatik koruma
Kalp Sistemi,Kalp Limiti,Maksimum kalp sayısı,En fazla 5 kalp tutabilirsiniz,5 kalpten sonra yeni kalp gelmez,5 kalbi doldurmaya çalışın,hearts = Math.min(hearts + 1 5),Limit var
Kalp Sistemi,Kalp Göstergesi,UI'da kalp sayısı,Ana menüde kalp sayısı görünür,Kalp durumunu takip edebilirsiniz,Kalp sayacını kontrol edin,heartCount elementi,Gerçek zamanlı
Ses Sistemi,Fanfar Türleri,4 farklı fanfar,Victory Perfect Achievement Streak,Farklı durumlarda farklı sesler,Her durumu tetikleyin,playVictoryFanfare() vs,AudioGenerator sınıfı
Ses Sistemi,Victory Fanfare,Seviye tamamlama,Seviye bitirince çalar,Seviyeyi bitirin,Seviye sonunu bekleyin,Major scale melodi,Neşeli melodi
Ses Sistemi,Perfect Fanfare,Mükemmel performans,Hiç yanlış yapmadan bitirince,%100 doğruluk ile bitirin,Perfect score alın,Özel perfect melodisi,En özel fanfar
Ses Sistemi,Achievement Fanfare,Başarı kazanma,Özel başarılarda çalar,Özel milestone'lara ulaşın,Büyük başarı elde edin,Achievement melodisi,Orta seviye kutlama
Ses Sistemi,Streak Fanfare,Streak milestone,Streak milestone'larında çalar,3-7-10-15-20-30-50-100 gün streak,Milestone streak'e ulaşın,Streak melodisi,Motivasyon verici
Ses Sistemi,Ney Müziği,Arka plan müziği,İslamik tarzda ney sesi,Sürekli çalan ambient müzik,Ses açık iken oynayın,createNeyMusic() fonksiyonu,Rahatlama müziği
Ses Sistemi,Ses Kontrolü,Açma/Kapama,Ses butonları ile kontrol,Ses açık/kapalı değiştirme,Ses butonlarına tıklayın,soundEnabled localStorage,Kullanıcı tercihi
Oyun Modları,Translation Mode,Çeviri modu,Arapça kelimeyi Türkçe'ye çevir,Yeşil renkli Arapça kelime,Translation butonuna tıklayın,mode = 'translation',En temel mod
Oyun Modları,Listening Mode,Dinleme modu,Ses dinleyip anlam bul,Mor renkli Arapça kelime,Listening butonuna tıklayın,mode = 'listening',Ses tabanlı
Oyun Modları,Writing Mode,Yazma modu,Arapça kelimeyi yaz,Turuncu renkli hedef,Writing butonuna tıklayın,mode = 'writing',En zor mod
Oyun Modları,Speed Mode,Hız modu,Zaman kısıtlı oyun,Kırmızı renkli hızlı oyun,Speed butonuna tıklayın,mode = 'speed',Adrenalin modu
Oyun Modları,Test Mode,Test modu,Genel bilgi testi,Rastgele sorular,Test butonuna tıklayın,mode = 'test',Karışık sorular
Oyun Modları,Sonsuz Mod,Endless,Sürekli oyun,Hiç bitmeyen oyun modu,Sonsuz Mod'u seçin,endless = true,Sınırsız oyun
Zorluk Sistemi,Kolay,Başlangıç seviyesi,Basit kelimeler az seçenek,+10 hasene -5 hasene cezası,Kolay'ı seçin,difficulty = 'kolay',4 seçenekli
Zorluk Sistemi,Orta,Orta seviye,Orta kelimeler orta seçenek,+20 hasene -10 hasene cezası,Orta'yı seçin,difficulty = 'orta',6 seçenekli
Zorluk Sistemi,Zor,İleri seviye,Zor kelimeler çok seçenek,+50 hasene -25 hasene cezası,Zor'u seçin,difficulty = 'zor',8 seçenekli
Kelime Sistemi,Kelime Havuzu,1000+ Arapça kelime,data.json'dan yüklenir,Rastgele kelime seçimi,Oyunu oynayın,wordData array,Geniş veritabanı
Kelime Sistemi,Kelime Kategorileri,Farklı konular,Günlük hayat dini terimler vs,Çeşitli kategorilerden sorular,Farklı modları deneyin,Kategori bazlı,Kapsamlı içerik
Kelime Sistemi,Öğrenilen Kelimeler,Mastery sistemi,3 kez doğru = öğrenildi,Kelime mastery tracking,Aynı kelimeleri tekrar edin,masteredWords object,Kalıcı öğrenme
Kelime Sistemi,Tekrar Sistemi,Spaced repetition,Öğrenilen kelimeleri tekrar,Unutma eğrisi algoritması,Eski kelimeleri tekrar edin,Algoritma based,Etkili öğrenme
Storage Sistemi,LocalStorage,Veri saklama,Tarayıcıda veri saklar,Oyun kapansa da veri kalır,Tarayıcıyı kapatıp açın,localStorage API,Kalıcı kayıt
Storage Sistemi,Progress Backup,İlerleme yedekleme,Otomatik veri yedekleme,Her değişiklikte kaydeder,Oyun oynayın,saveProgress() fonksiyonu,Gerçek zamanlı
Storage Sistemi,Data Recovery,Veri kurtarma,Sayfa yenilenince veri yükler,Veri kaybolmaz,Sayfayı yenileyin,loadProgress() fonksiyonu,Güvenli sistem
UI Sistemi,Responsive Design,Mobil uyumluluk,Tüm cihazlarda çalışır,Mobil tablette de oynanabilir,Farklı cihazlarda test edin,CSS media queries,Cross-platform
UI Sistemi,Animasyonlar,Görsel efektler,Smooth geçişler,Hoş kullanıcı deneyimi,UI ile etkileşim kurun,CSS transitions,Modern görünüm
UI Sistemi,Progress Bars,İlerleme göstergeleri,XP günlük streak göstergeleri,Görsel feedback,İlerlemelerinizi takip edin,Dynamic width,Gerçek zamanlı
UI Sistemi,Color Coding,Renk sistemi,Mod bazlı renkler,Her mod farklı renk,Farklı modları deneyin,CSS color variables,Görsel ayrım
Font Sistemi,Arapça Font,Amiri font,Profesyonel Arapça yazı,Güzel okunabilir Arapça,Arapça kelimeleri okuyun,font-weight: 400,İnce elegant
Font Sistemi,Turkce Font,Nunito font,Modern Türkçe yazı,Clean okunabilir interface,UI'ı kullanın,Google Fonts,Modern tasarım
Performance,Optimizasyon,Hız optimizasyonu,Smooth oyun deneyimi,Lag yok hızlı response,Hızlı oynayın,Debouncing vs,Performanslı kod
Performance,Memory Management,Bellek yönetimi,Efficient veri kullanımı,Bellek sızıntısı yok,Uzun süre oynayın,Proper cleanup,Stable sistem
Analytics,Statistics,İstatistik takibi,Detaylı oyun istatistikleri,Progress tracking,Istatistiklerinizi kontrol edin,Comprehensive tracking,Veri odaklı
Analytics,Achievement Tracking,Başarı takibi,Unlock edilen başarılar,Milestone tracking,Başarıları açın,Achievement system,Gamification
Test Sistemi,Debug Functions,Test fonksiyonları,Developer test araçları,Bug testi ve debug,Console'da test fonk. çalıştırın,testWordMatching() vs,Development tools
Test Sistemi,Error Handling,Hata yönetimi,Graceful error handling,Sistem çökmez,Hatalı veri girmeye çalışın,try-catch blocks,Robust sistem
